,elapsed_time_hr,od_600nm,replicate,strain,medium_base,carbon_source,date,time_idx
0,0.0,0.039,1,REL606,DM,glucose,2021-04-04,0
1,0.3,0.044000000000000004,1,REL606,DM,glucose,2021-04-04,0
2,0.5666666666666667,0.057,1,REL606,DM,glucose,2021-04-04,0
3,0.7833333333333333,0.063,1,REL606,DM,glucose,2021-04-04,0
4,0.95,0.07400000000000001,1,REL606,DM,glucose,2021-04-04,0
5,1.1666666666666667,0.094,1,REL606,DM,glucose,2021-04-04,0
6,1.35,0.102,1,REL606,DM,glucose,2021-04-04,1
7,1.5166666666666666,0.113,1,REL606,DM,glucose,2021-04-04,0
8,1.7,0.127,1,REL606,DM,glucose,2021-04-04,0
9,1.85,0.153,1,REL606,DM,glucose,2021-04-04,2
10,2.0,0.16,1,REL606,DM,glucose,2021-04-04,0
11,2.1666666666666665,0.185,1,REL606,DM,glucose,2021-04-04,0
12,2.316666666666667,0.205,1,REL606,DM,glucose,2021-04-04,3
13,2.433333333333333,0.22899999999999998,1,REL606,DM,glucose,2021-04-04,0
14,2.566666666666667,0.251,1,REL606,DM,glucose,2021-04-04,4
15,2.65,0.268,1,REL606,DM,glucose,2021-04-04,0
16,2.7333333333333334,0.284,1,REL606,DM,glucose,2021-04-04,0
17,2.816666666666667,0.297,1,REL606,DM,glucose,2021-04-04,5
18,2.9166666666666665,0.331,1,REL606,DM,glucose,2021-04-04,0
19,3.0,0.35200000000000004,1,REL606,DM,glucose,2021-04-04,6
20,3.1,0.38,1,REL606,DM,glucose,2021-04-04,0
21,3.1333333333333333,0.391,1,REL606,DM,glucose,2021-04-04,7
0,0.0,0.042,2,REL606,DM,glucose,2021-04-04,0
1,0.3,0.047,2,REL606,DM,glucose,2021-04-04,0
2,0.5833333333333334,0.057,2,REL606,DM,glucose,2021-04-04,0
3,0.8666666666666667,0.07400000000000001,2,REL606,DM,glucose,2021-04-04,0
4,1.0666666666666667,0.083,2,REL606,DM,glucose,2021-04-04,0
5,1.25,0.098,2,REL606,DM,glucose,2021-04-04,1
6,1.4666666666666666,0.109,2,REL606,DM,glucose,2021-04-04,0
7,1.6333333333333333,0.125,2,REL606,DM,glucose,2021-04-04,0
8,1.8166666666666667,0.153,2,REL606,DM,glucose,2021-04-04,2
9,1.9833333333333334,0.175,2,REL606,DM,glucose,2021-04-04,0
10,2.15,0.19699999999999998,2,REL606,DM,glucose,2021-04-04,3
11,2.3,0.215,2,REL606,DM,glucose,2021-04-04,0
12,2.466666666666667,0.24,2,REL606,DM,glucose,2021-04-04,0
13,2.6,0.276,2,REL606,DM,glucose,2021-04-04,4
14,2.7333333333333334,0.303,2,REL606,DM,glucose,2021-04-04,5
15,2.8666666666666667,0.336,2,REL606,DM,glucose,2021-04-04,0
16,2.95,0.35600000000000004,2,REL606,DM,glucose,2021-04-04,6
17,3.033333333333333,0.377,2,REL606,DM,glucose,2021-04-04,0
18,3.1,0.40399999999999997,2,REL606,DM,glucose,2021-04-04,7
0,0.0,0.040999999999999995,3,REL606,DM,glucose,2021-04-04,0
1,0.2833333333333333,0.052000000000000005,3,REL606,DM,glucose,2021-04-04,0
2,0.5666666666666667,0.061,3,REL606,DM,glucose,2021-04-04,0
3,0.85,0.079,3,REL606,DM,glucose,2021-04-04,0
4,1.0666666666666667,0.092,3,REL606,DM,glucose,2021-04-04,0
5,1.25,0.10300000000000001,3,REL606,DM,glucose,2021-04-04,1
6,1.45,0.12300000000000001,3,REL606,DM,glucose,2021-04-04,0
7,1.6333333333333333,0.15,3,REL606,DM,glucose,2021-04-04,2
8,1.8166666666666667,0.161,3,REL606,DM,glucose,2021-04-04,0
9,1.9833333333333334,0.183,3,REL606,DM,glucose,2021-04-04,0
10,2.15,0.20800000000000002,3,REL606,DM,glucose,2021-04-04,3
11,2.283333333333333,0.23800000000000002,3,REL606,DM,glucose,2021-04-04,0
12,2.45,0.268,3,REL606,DM,glucose,2021-04-04,4
13,2.6,0.295,3,REL606,DM,glucose,2021-04-04,5
14,2.7333333333333334,0.337,3,REL606,DM,glucose,2021-04-04,0
15,2.85,0.366,3,REL606,DM,glucose,2021-04-04,6
16,2.95,0.395,3,REL606,DM,glucose,2021-04-04,7
